0,1,2,3,4
,precision,recall,f1-score,support
acq,0.76,0.83,0.79,1650
alum,0.20,0.09,0.12,35
barley,0.00,0.00,0.00,37
bop,0.53,0.21,0.30,75
carcass,0.52,0.22,0.31,50
castor-oil,0.00,0.00,0.00,1
cocoa,0.62,0.15,0.24,55
coconut,0.00,0.00,0.00,4
coconut-oil,0.00,0.00,0.00,4
coffee,0.87,0.41,0.55,111
copper,0.20,0.11,0.14,47
copra-cake,0.00,0.00,0.00,2
corn,0.28,0.03,0.05,181
cotton,1.00,0.13,0.23,39
cotton-oil,0.00,0.00,0.00,1
cpi,0.40,0.58,0.48,69
cpu,0.00,0.00,0.00,3
crude,0.24,0.51,0.33,389
dfl,0.00,0.00,0.00,2
dlr,0.47,0.05,0.10,131
dmk,0.00,0.00,0.00,10
earn,0.91,0.89,0.90,2877
fuel,0.00,0.00,0.00,13
gas,0.40,0.11,0.17,37
gnp,0.49,0.39,0.43,101
gold,0.85,0.35,0.50,94
grain,0.26,0.80,0.39,433
groundnut,0.00,0.00,0.00,5
groundnut-oil,0.00,0.00,0.00,1
heat,1.00,0.14,0.25,14
hog,0.00,0.00,0.00,16
housing,0.00,0.00,0.00,16
income,1.00,0.11,0.20,9
instal-debt,0.00,0.00,0.00,5
interest,0.62,0.29,0.40,347
ipi,1.00,0.27,0.42,41
iron-steel,0.00,0.00,0.00,40
jet,0.00,0.00,0.00,4
jobs,0.71,0.43,0.54,46
l-cattle,0.00,0.00,0.00,6
lead,0.00,0.00,0.00,15
lei,0.50,0.17,0.25,12
lin-oil,0.00,0.00,0.00,1
livestock,0.50,0.07,0.12,75
lumber,0.00,0.00,0.00,10
meal-feed,0.00,0.00,0.00,30
money-fx,0.28,0.73,0.40,538
money-supply,0.70,0.10,0.18,138
naphtha,0.00,0.00,0.00,2
nat-gas,0.00,0.00,0.00,75
nickel,0.00,0.00,0.00,8
nkr,0.00,0.00,0.00,1
nzdlr,0.00,0.00,0.00,2
oat,0.00,0.00,0.00,8
oilseed,0.50,0.06,0.11,124
orange,0.00,0.00,0.00,16
palladium,0.00,0.00,0.00,2
palm-oil,0.43,0.10,0.16,30
palmkernel,0.00,0.00,0.00,2
pet-chem,0.50,0.10,0.17,20
platinum,0.00,0.00,0.00,5
potato,0.00,0.00,0.00,3
propane,0.00,0.00,0.00,3
rand,0.00,0.00,0.00,2
rape-oil,0.00,0.00,0.00,5
rapeseed,0.00,0.00,0.00,18
reserves,0.56,0.09,0.16,55
retail,0.89,0.35,0.50,23
rice,0.00,0.00,0.00,35
rubber,0.40,0.05,0.10,37
rye,0.00,0.00,0.00,1
ship,0.64,0.28,0.39,197
silver,0.00,0.00,0.00,21
sorghum,0.00,0.00,0.00,24
soy-meal,0.00,0.00,0.00,13
soy-oil,0.00,0.00,0.00,14
soybean,0.28,0.18,0.22,78
strategic-metal,0.00,0.00,0.00,16
sugar,0.90,0.48,0.63,126
sun-meal,0.00,0.00,0.00,1
sun-oil,0.00,0.00,0.00,5
sunseed,0.00,0.00,0.00,11
tea,0.00,0.00,0.00,9
tin,0.45,0.28,0.34,18
trade,0.50,0.43,0.46,369
unknown,0.71,0.78,0.75,1830
veg-oil,0.83,0.06,0.11,87
wheat,0.00,0.00,0.00,212
wpi,0.67,0.11,0.18,19
yen,0.00,0.00,0.00,45
zinc,0.00,0.00,0.00,21
accuracy,,,0.61,11413
macro avg,0.26,0.13,0.14,11413
weighted avg,0.63,0.61,0.59,11413
