0,1,2,3,4
,precision,recall,f1-score,support
acq,0.89,0.98,0.93,1650
alum,0.56,0.71,0.63,35
barley,0.23,0.89,0.36,37
bop,0.47,0.72,0.57,75
carcass,0.34,0.80,0.48,50
castor-oil,0.00,0.00,0.00,1
cocoa,0.67,0.89,0.77,55
coconut,0.12,0.25,0.17,4
coconut-oil,0.20,0.25,0.22,4
coffee,0.72,0.89,0.80,111
copper,0.47,0.70,0.56,47
copra-cake,0.00,0.00,0.00,2
corn,0.31,0.78,0.45,181
cotton,0.37,0.59,0.46,39
cotton-oil,0.25,1.00,0.40,1
cpi,0.62,0.84,0.71,69
cpu,0.30,1.00,0.46,3
crude,0.71,0.87,0.78,389
dfl,0.00,0.00,0.00,2
dlr,0.43,0.82,0.57,131
dmk,0.29,0.20,0.24,10
earn,0.98,0.98,0.98,2877
fuel,0.50,0.38,0.43,13
gas,0.35,0.19,0.25,37
gnp,0.62,0.64,0.63,101
gold,0.73,0.87,0.79,94
grain,0.48,0.53,0.50,433
groundnut,0.00,0.00,0.00,5
groundnut-oil,0.12,1.00,0.22,1
heat,1.00,0.29,0.44,14
hog,0.38,0.56,0.45,16
housing,1.00,0.44,0.61,16
income,1.00,0.44,0.62,9
instal-debt,0.44,0.80,0.57,5
interest,0.67,0.88,0.76,347
ipi,0.89,0.78,0.83,41
iron-steel,0.57,0.57,0.57,40
jet,0.00,0.00,0.00,4
jobs,0.90,0.61,0.73,46
l-cattle,0.00,0.00,0.00,6
lead,0.43,0.20,0.27,15
lei,1.00,0.75,0.86,12
lin-oil,0.00,0.00,0.00,1
livestock,0.62,0.33,0.43,75
lumber,0.89,0.80,0.84,10
meal-feed,0.40,0.27,0.32,30
money-fx,0.74,0.50,0.60,538
money-supply,0.80,0.86,0.83,138
naphtha,0.00,0.00,0.00,2
nat-gas,0.60,0.24,0.34,75
nickel,0.38,0.38,0.38,8
nkr,0.00,0.00,0.00,1
nzdlr,0.00,0.00,0.00,2
oat,0.00,0.00,0.00,8
oilseed,0.43,0.34,0.38,124
orange,0.82,0.56,0.67,16
palladium,0.00,0.00,0.00,2
palm-oil,0.41,0.63,0.50,30
palmkernel,0.00,0.00,0.00,2
pet-chem,0.38,0.25,0.30,20
platinum,0.00,0.00,0.00,5
potato,0.50,0.33,0.40,3
propane,0.00,0.00,0.00,3
rand,0.50,0.50,0.50,2
rape-oil,0.00,0.00,0.00,5
rapeseed,0.00,0.00,0.00,18
reserves,0.76,0.69,0.72,55
retail,0.70,0.61,0.65,23
rice,0.00,0.00,0.00,35
rubber,1.00,0.51,0.68,37
rye,0.00,0.00,0.00,1
ship,0.81,0.51,0.62,197
silver,0.00,0.00,0.00,21
sorghum,0.00,0.00,0.00,24
soy-meal,0.00,0.00,0.00,13
soy-oil,0.44,0.29,0.35,14
soybean,0.00,0.00,0.00,78
strategic-metal,1.00,0.25,0.40,16
sugar,0.93,0.74,0.82,126
sun-meal,0.00,0.00,0.00,1
sun-oil,0.25,0.40,0.31,5
sunseed,0.00,0.00,0.00,11
tea,0.00,0.00,0.00,9
tin,0.67,0.56,0.61,18
trade,0.86,0.67,0.75,369
unknown,0.96,0.95,0.96,1830
veg-oil,0.51,0.33,0.40,87
wheat,0.00,0.00,0.00,212
wpi,0.73,0.58,0.65,19
yen,0.00,0.00,0.00,45
zinc,0.67,0.29,0.40,21
accuracy,,,0.80,11413
macro avg,0.42,0.41,0.38,11413
weighted avg,0.79,0.80,0.78,11413
