0,1,2,3,4
,precision,recall,f1-score,support
acq,0.88,0.94,0.91,1650
alum,1.00,0.77,0.87,35
barley,0.00,0.00,0.00,37
bop,0.65,0.40,0.50,75
carcass,1.00,0.04,0.08,50
castor-oil,0.00,0.00,0.00,1
cocoa,0.89,0.85,0.87,55
coconut,0.00,0.00,0.00,4
coconut-oil,0.00,0.00,0.00,4
coffee,0.83,0.92,0.87,111
copper,0.76,0.74,0.75,47
copra-cake,0.00,0.00,0.00,2
corn,0.22,0.04,0.07,181
cotton,0.65,0.38,0.48,39
cotton-oil,0.00,0.00,0.00,1
cpi,0.91,0.77,0.83,69
cpu,0.00,0.00,0.00,3
crude,0.69,0.85,0.76,389
dfl,0.00,0.00,0.00,2
dlr,0.50,0.02,0.03,131
dmk,0.00,0.00,0.00,10
earn,0.97,0.96,0.97,2877
fuel,0.00,0.00,0.00,13
gas,0.78,0.19,0.30,37
gnp,0.59,0.77,0.67,101
gold,0.65,0.95,0.77,94
grain,0.37,0.89,0.52,433
groundnut,0.00,0.00,0.00,5
groundnut-oil,0.00,0.00,0.00,1
heat,1.00,0.29,0.44,14
hog,0.00,0.00,0.00,16
housing,0.89,1.00,0.94,16
income,0.78,0.78,0.78,9
instal-debt,1.00,0.60,0.75,5
interest,0.73,0.59,0.65,347
ipi,0.89,0.83,0.86,41
iron-steel,0.88,0.72,0.79,40
jet,0.00,0.00,0.00,4
jobs,0.86,0.78,0.82,46
l-cattle,0.00,0.00,0.00,6
lead,1.00,0.27,0.42,15
lei,1.00,0.92,0.96,12
lin-oil,0.00,0.00,0.00,1
livestock,0.50,0.84,0.63,75
lumber,1.00,0.60,0.75,10
meal-feed,0.54,0.23,0.33,30
money-fx,0.57,0.80,0.67,538
money-supply,0.89,0.83,0.86,138
naphtha,0.00,0.00,0.00,2
nat-gas,0.77,0.31,0.44,75
nickel,0.00,0.00,0.00,8
nkr,0.00,0.00,0.00,1
nzdlr,0.00,0.00,0.00,2
oat,0.00,0.00,0.00,8
oilseed,0.33,0.40,0.36,124
orange,1.00,0.81,0.90,16
palladium,0.00,0.00,0.00,2
palm-oil,0.25,0.03,0.06,30
palmkernel,0.00,0.00,0.00,2
pet-chem,0.75,0.45,0.56,20
platinum,0.00,0.00,0.00,5
potato,0.00,0.00,0.00,3
propane,0.00,0.00,0.00,3
rand,0.00,0.00,0.00,2
rape-oil,0.00,0.00,0.00,5
rapeseed,0.00,0.00,0.00,18
reserves,0.78,0.76,0.77,55
retail,0.95,0.78,0.86,23
rice,0.00,0.00,0.00,35
rubber,1.00,0.81,0.90,37
rye,0.00,0.00,0.00,1
ship,0.74,0.72,0.73,197
silver,0.80,0.19,0.31,21
sorghum,0.00,0.00,0.00,24
soy-meal,0.00,0.00,0.00,13
soy-oil,0.00,0.00,0.00,14
soybean,0.00,0.00,0.00,78
strategic-metal,1.00,0.31,0.48,16
sugar,0.91,0.83,0.87,126
sun-meal,0.00,0.00,0.00,1
sun-oil,0.00,0.00,0.00,5
sunseed,0.00,0.00,0.00,11
tea,0.00,0.00,0.00,9
tin,1.00,0.89,0.94,18
trade,0.73,0.79,0.76,369
unknown,0.89,0.91,0.90,1830
veg-oil,0.43,0.79,0.55,87
wheat,0.00,0.00,0.00,212
wpi,0.82,0.74,0.78,19
yen,0.00,0.00,0.00,45
zinc,0.71,0.57,0.63,21
accuracy,,,0.79,11413
macro avg,0.43,0.35,0.36,11413
weighted avg,0.77,0.79,0.76,11413
